Industry,Company_Size,Tech_Stack,Hiring_Budget,Role,Seniority_Level,Skills_Required,Years_Experience,Project_Type,Project_Timeline,Expected_Deliverables,Current_Team,Collaboration_Model,Diversity_Goals,Number_of_Hires,Hiring_Method
E-commerce,Large,"Python,XGBoost,MySQL",292850,Data Analyst,Junior,"Python,PyTorch,Deep Learning",3,Recommendation System,5 months,Demand forecasting system,5 Data Scientists,Cross-functional,50% gender parity,2,Hybrid
Retail,Medium,"Python,Spark,AWS Glue",184079,ML Engineer,Senior,"Python,Scikit-learn,NLP",3,Computer Vision,5 months,Demand forecasting system,1 BI Engineer,Cross-functional,At least 1 woman per role,1,Contract
E-commerce,Large,"Python,Scikit-learn,Azure",140892,Data Scientist,Junior,"Python,Scikit-learn,NLP",2,Predictive Analytics,4 months,Sentiment classifier,"2 Data Scientists, 1 MLOps Engineer",Siloed,50% gender parity,1,Remote
Logistics,Medium,"Python,TensorFlow,AWS",186999,Data Analyst,Senior,"Python,OpenCV,PyTorch",2,Computer Vision,9 months,Object detection model,1 ML Engineer,Siloed,Include fresh grads,3,Contract
Technology,Medium,"Python,XGBoost,MySQL",273939,Machine Learning Engineer,Mid-level,"Python,Pandas,SQL",1,Forecasting,4 months,Demand forecasting system,1 ML Engineer,Cross-functional,At least 1 woman per role,3,Full-time
Healthcare,Medium,"Python,Keras,NLP",273796,ML Engineer,Junior,"Python,Scikit-learn,NLP",3,Fraud Detection,6 months,ETL pipelines,4 Researchers,Cross-functional,None,2,"Full-time, Remote"
Manufacturing,Small,"Python,FastAPI,SQL",152133,ML Researcher,Senior,"Python,Scikit-learn,NLP",1,Computer Vision,9 months,Sentiment classifier,"1 Data Scientist, 1 PM",Siloed,At least 1 woman per role,3,Contract
Technology,Medium,"Python,Scikit-learn,Azure",193160,Data Engineer,Junior,"Python,OpenCV,PyTorch",3,NLP,12 months,Sentiment classifier,4 Researchers,Cross-functional,Include fresh grads,2,Contract
Finance,Medium,"R,Python,Azure ML",272210,AI Researcher,Junior,"R,Python,Bioinformatics",5,Fraud Detection,9 months,ETL pipelines,4 Researchers,Cross-functional,Include fresh grads,1,Hybrid
EdTech,Large,"Python,Scikit-learn,Azure",217747,AI Researcher,Junior,"Python,Pandas,SQL",5,Predictive Analytics,12 months,ETL pipelines,1 Analyst,Siloed,50% gender parity,3,"Full-time, Remote"
Finance,Medium,"Python,FastAPI,SQL",272027,AI Researcher,Mid-level,"Python,PyTorch,Deep Learning",5,Predictive Analytics,12 months,Research papers,1 Analyst,Siloed,At least 1 person with disability,1,Full-time
Retail,Medium,"R,Python,Azure ML",179520,ML Researcher,Senior,"Python,Keras,NLP",2,Computer Vision,3 months,Dashboards and reports,1 Analyst,Cross-functional,At least 1 person with disability,3,"Full-time, Remote"
EdTech,Large,"Python,XGBoost,MySQL",260527,Data Analyst,Senior,"Python,Spark,AWS Glue",2,Fraud Detection,3 months,Forecast models,5 Data Scientists,Siloed,Ensure diverse academic backgrounds,3,"Full-time, Remote"
Logistics,Large,"Python,Scikit-learn,Azure",148228,Computer Vision Engineer,Mid-level,"Python,Tableau,SQL",2,Computer Vision,4 months,ETL pipelines,"2 Data Scientists, 1 MLOps Engineer",Siloed,At least 1 person with disability,1,Remote
Gaming,Small,"Python,Spark,AWS Glue",298646,Data Analyst,Junior,"Python,Pandas,SQL",4,Predictive Analytics,6 months,Forecast models,1 BI Engineer,Cross-functional,At least 1 woman per role,2,Full-time
Gaming,Large,"Python,Scikit-learn,Azure",203324,Machine Learning Engineer,Senior,"Python,PyTorch,Deep Learning",4,Recommendation System,3 months,ETL pipelines,2 Developers,Siloed,50% gender parity,1,"Full-time, Remote"
Gaming,Large,"Python,TensorFlow,AWS",149768,Data Engineer,Mid-level,"R,Python,Bioinformatics",3,Forecasting,6 months,Dashboards and reports,4 Researchers,Siloed,Include fresh grads,1,"Full-time, Remote"
Finance,Medium,"Python,Tableau,SQL",123708,Data Scientist,Junior,"Python,XGBoost,MySQL",6,Predictive Analytics,4 months,Medical ML Models,4 Researchers,Siloed,At least 1 woman per role,1,Contract
Logistics,Large,"Python,Spark,AWS Glue",219192,Data Scientist,Mid-level,"Python,Scikit-learn,EDA",6,Fraud Detection,12 months,Dashboards and reports,5 Data Scientists,Cross-functional,At least 30% female candidates,3,Hybrid
Retail,Small,"Python,OpenCV,PyTorch",285408,Computer Vision Engineer,Senior,"Python,OpenCV,PyTorch",5,Computer Vision,6 months,Object detection model,4 Researchers,Cross-functional,At least 1 person with disability,1,Remote
Finance,Small,"Python,FastAPI,SQL",146888,Machine Learning Engineer,Mid-level,"Python,Keras,NLP",3,Fraud Detection,6 months,Sentiment classifier,1 Analyst,Cross-functional,Ensure diverse academic backgrounds,1,Full-time
EdTech,Small,"Python,Tableau,SQL",230450,ML Researcher,Senior,"Python,Scikit-learn,NLP",5,Recommendation System,4 months,ETL pipelines,2 ML Engineers,Siloed,At least 1 woman per role,2,Hybrid
Healthcare,Large,"Python,XGBoost,MySQL",101723,Data Analyst,Senior,"Python,Keras,NLP",5,Fraud Detection,9 months,ETL pipelines,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,Ensure diverse academic backgrounds,1,Remote
Technology,Small,"Python,TensorFlow,AWS",274849,Data Engineer,Mid-level,"Python,PyTorch,Deep Learning",1,NLP,6 months,Dashboards and reports,1 Analyst,Siloed,Include fresh grads,3,"Full-time, Remote"
Manufacturing,Small,"Python,Tableau,SQL",296433,ML Engineer,Junior,"Python,PyTorch,Deep Learning",3,Forecasting,5 months,Medical ML Models,5 Data Scientists,Siloed,At least 1 person with disability,3,Full-time
EdTech,Medium,"Python,FastAPI,SQL",131987,Data Engineer,Mid-level,"Python,OpenCV,PyTorch",4,Predictive Analytics,4 months,ETL pipelines,2 ML Engineers,Cross-functional,At least 30% female candidates,3,"Full-time, Remote"
Healthcare,Medium,"Python,XGBoost,MySQL",285284,Data Engineer,Mid-level,"Python,XGBoost,MySQL",3,Forecasting,9 months,Demand forecasting system,2 ML Engineers,Siloed,Ensure diverse academic backgrounds,3,"Full-time, Remote"
Logistics,Large,"Python,Tableau,SQL",229107,AI Researcher,Senior,"Python,Spark,AWS Glue",6,Forecasting,4 months,Deployable chatbot,5 Data Scientists,Cross-functional,At least 1 woman per role,3,Full-time
E-commerce,Large,"R,Python,Azure ML",208538,Machine Learning Engineer,Mid-level,"Python,Scikit-learn,EDA",5,Fraud Detection,4 months,Deployable chatbot,2 Data Engineers,Siloed,None,1,Remote
EdTech,Large,"Python,OpenCV,PyTorch",184914,Machine Learning Engineer,Junior,"Python,Scikit-learn,EDA",3,Recommendation System,12 months,Demand forecasting system,2 ML Engineers,Cross-functional,At least 1 person with disability,1,Contract
Retail,Medium,"Python,Tableau,SQL",224387,Machine Learning Engineer,Senior,"Python,Pandas,SQL",4,Computer Vision,12 months,Interactive dashboards,2 Developers,Siloed,At least 1 woman per role,2,Full-time
Manufacturing,Medium,"Python,XGBoost,MySQL",290045,ML Engineer,Senior,"Python,OpenCV,PyTorch",1,Computer Vision,9 months,Forecast models,"1 Data Scientist, 1 PM",Cross-functional,Ensure diverse academic backgrounds,2,Full-time
Retail,Medium,"Python,OpenCV,PyTorch",143507,Computer Vision Engineer,Junior,"Python,XGBoost,MySQL",1,Forecasting,12 months,Forecast models,"2 Data Scientists, 1 MLOps Engineer",Siloed,At least 1 woman per role,1,Hybrid
E-commerce,Medium,"Python,Tableau,SQL",179332,Data Analyst,Senior,"Python,Keras,NLP",2,NLP,5 months,Deployable chatbot,2 Data Engineers,Cross-functional,At least 1 woman per role,3,Full-time
Logistics,Large,"Python,FastAPI,SQL",149862,ML Engineer,Mid-level,"Python,OpenCV,PyTorch",3,Forecasting,4 months,Research papers,2 Developers,Cross-functional,Ensure diverse academic backgrounds,3,Full-time
Logistics,Medium,"Python,OpenCV,PyTorch",130365,Machine Learning Engineer,Mid-level,"Python,Scikit-learn,NLP",6,Predictive Analytics,3 months,Forecast models,1 BI Engineer,Cross-functional,At least 30% female candidates,3,Remote
Technology,Large,"Python,Keras,NLP",267470,Data Analyst,Mid-level,"Python,Spark,AWS Glue",2,Forecasting,5 months,Object detection model,"1 Data Scientist, 1 PM",Siloed,50% gender parity,1,Remote
Finance,Small,"Python,Keras,NLP",130005,Machine Learning Engineer,Senior,"Python,OpenCV,PyTorch",5,NLP,4 months,Object detection model,"1 Data Scientist, 1 PM",Siloed,None,1,Remote
E-commerce,Small,"Python,PyTorch,GCP",181625,ML Engineer,Senior,"Python,Tableau,SQL",1,Computer Vision,3 months,Interactive dashboards,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,At least 1 woman per role,1,Full-time
Gaming,Medium,"Python,FastAPI,SQL",284727,ML Researcher,Senior,"Python,Scikit-learn,EDA",3,Forecasting,4 months,Object detection model,5 Data Scientists,Siloed,Include fresh grads,1,Full-time
Logistics,Small,"Python,Tableau,SQL",181367,ML Researcher,Mid-level,"Python,Spark,AWS Glue",2,Computer Vision,9 months,Sentiment classifier,"1 Data Scientist, 1 PM",Siloed,Ensure diverse academic backgrounds,3,Remote
Retail,Medium,"Python,Tableau,SQL",107933,Data Scientist,Mid-level,"Python,PyTorch,Deep Learning",3,Recommendation System,6 months,Dashboards and reports,1 ML Engineer,Siloed,Include fresh grads,3,Contract
Manufacturing,Small,"R,Python,Azure ML",287242,Data Scientist,Mid-level,"Python,OpenCV,PyTorch",6,NLP,5 months,Object detection model,1 BI Engineer,Siloed,Include fresh grads,2,Contract
E-commerce,Large,"Python,FastAPI,SQL",226451,Computer Vision Engineer,Junior,"Python,Scikit-learn,EDA",2,Fraud Detection,9 months,Medical ML Models,4 Researchers,Siloed,Include fresh grads,3,Contract
Finance,Large,"Python,PyTorch,GCP",293820,ML Researcher,Junior,"Python,XGBoost,MySQL",5,Recommendation System,5 months,Object detection model,5 Data Scientists,Siloed,Ensure diverse academic backgrounds,2,Hybrid
Healthcare,Large,"Python,PyTorch,GCP",279701,Computer Vision Engineer,Mid-level,"Python,Tableau,SQL",6,Fraud Detection,3 months,Research papers,2 Data Engineers,Cross-functional,Include fresh grads,3,Full-time
Finance,Large,"Python,FastAPI,SQL",218744,Data Engineer,Mid-level,"Python,XGBoost,MySQL",5,Recommendation System,4 months,ETL pipelines,"1 Data Scientist, 1 PM",Siloed,Include fresh grads,3,Remote
Gaming,Large,"Python,Scikit-learn,Azure",123406,Machine Learning Engineer,Senior,"Python,OpenCV,PyTorch",4,Computer Vision,5 months,Deployable chatbot,"1 Data Scientist, 1 PM",Cross-functional,At least 30% female candidates,3,"Full-time, Remote"
Retail,Small,"Python,Keras,NLP",108174,Data Analyst,Mid-level,"Python,XGBoost,MySQL",4,Fraud Detection,5 months,Medical ML Models,4 Researchers,Siloed,At least 1 woman per role,3,Contract
Finance,Medium,"Python,FastAPI,SQL",149342,Computer Vision Engineer,Mid-level,"R,Python,Bioinformatics",2,Forecasting,12 months,Dashboards and reports,1 Analyst,Cross-functional,At least 30% female candidates,3,Full-time
Finance,Large,"Python,Tableau,SQL",272471,Computer Vision Engineer,Junior,"Python,PyTorch,Deep Learning",2,Fraud Detection,6 months,Interactive dashboards,2 ML Engineers,Siloed,Include fresh grads,1,Hybrid
Manufacturing,Medium,"Python,OpenCV,PyTorch",217976,Computer Vision Engineer,Mid-level,"Python,Spark,AWS Glue",2,Recommendation System,9 months,Deployable chatbot,2 ML Engineers,Siloed,At least 1 person with disability,3,Contract
Manufacturing,Medium,"R,Python,Azure ML",243174,ML Engineer,Junior,"Python,Scikit-learn,NLP",5,Recommendation System,12 months,Forecast models,5 Data Scientists,Siloed,50% gender parity,1,Contract
Manufacturing,Medium,"Python,Tableau,SQL",235515,Data Scientist,Senior,"Python,XGBoost,MySQL",1,Computer Vision,6 months,Research papers,2 Developers,Siloed,Include fresh grads,1,Remote
Manufacturing,Small,"Python,Tableau,SQL",219022,ML Researcher,Senior,"Python,Scikit-learn,EDA",4,Forecasting,5 months,Sentiment classifier,1 Analyst,Cross-functional,50% gender parity,3,Remote
EdTech,Small,"Python,Tableau,SQL",251556,AI Researcher,Senior,"Python,Scikit-learn,NLP",6,Forecasting,12 months,Demand forecasting system,"2 Data Scientists, 1 MLOps Engineer",Siloed,At least 1 woman per role,1,Contract
Manufacturing,Small,"Python,Keras,NLP",166073,AI Researcher,Senior,"Python,Keras,NLP",3,Forecasting,3 months,Research papers,2 ML Engineers,Cross-functional,Include fresh grads,3,Contract
Logistics,Medium,"Python,FastAPI,SQL",168485,Data Analyst,Mid-level,"Python,Pandas,SQL",5,NLP,5 months,Research papers,1 Analyst,Cross-functional,At least 1 person with disability,2,Hybrid
Gaming,Small,"Python,Tableau,SQL",290316,AI Researcher,Junior,"Python,XGBoost,MySQL",6,Forecasting,3 months,Sentiment classifier,5 Data Scientists,Cross-functional,Ensure diverse academic backgrounds,2,Hybrid
Logistics,Medium,"Python,Tableau,SQL",295598,Data Analyst,Mid-level,"R,Python,Bioinformatics",4,Forecasting,4 months,Object detection model,4 Researchers,Cross-functional,None,2,Hybrid
Retail,Large,"Python,TensorFlow,AWS",125523,ML Engineer,Mid-level,"Python,XGBoost,MySQL",6,Forecasting,5 months,Sentiment classifier,1 ML Engineer,Cross-functional,None,3,"Full-time, Remote"
Gaming,Medium,"Python,Spark,AWS Glue",292495,Data Analyst,Senior,"Python,Scikit-learn,EDA",6,Fraud Detection,4 months,Forecast models,2 Developers,Cross-functional,50% gender parity,1,Full-time
Technology,Medium,"Python,PyTorch,GCP",237694,Data Scientist,Senior,"Python,Tableau,SQL",3,Computer Vision,12 months,Sentiment classifier,1 ML Engineer,Cross-functional,At least 30% female candidates,1,"Full-time, Remote"
Healthcare,Small,"Python,XGBoost,MySQL",272125,Data Analyst,Senior,"Python,PyTorch,Deep Learning",6,NLP,3 months,Demand forecasting system,1 Analyst,Siloed,50% gender parity,3,"Full-time, Remote"
Finance,Small,"Python,FastAPI,SQL",166410,Data Engineer,Mid-level,"Python,PyTorch,Deep Learning",6,Recommendation System,5 months,Medical ML Models,"1 Data Scientist, 1 PM",Siloed,Ensure diverse academic backgrounds,1,Remote
Technology,Medium,"R,Python,Azure ML",187203,Machine Learning Engineer,Mid-level,"Python,Keras,NLP",2,Recommendation System,3 months,Interactive dashboards,2 Data Engineers,Siloed,Ensure diverse academic backgrounds,3,Hybrid
Healthcare,Small,"Python,OpenCV,PyTorch",213050,Data Analyst,Senior,"Python,PyTorch,Deep Learning",4,Fraud Detection,5 months,Research papers,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,At least 30% female candidates,3,Remote
Logistics,Small,"Python,Tableau,SQL",139021,Machine Learning Engineer,Junior,"R,Python,Bioinformatics",3,Computer Vision,12 months,Forecast models,4 Researchers,Cross-functional,Include fresh grads,3,Hybrid
Logistics,Medium,"R,Python,Azure ML",290779,Data Scientist,Senior,"Python,Spark,AWS Glue",1,Recommendation System,12 months,Interactive dashboards,5 Data Scientists,Siloed,None,3,Remote
Gaming,Small,"Python,PyTorch,GCP",195775,ML Engineer,Junior,"Python,Tableau,SQL",3,Fraud Detection,4 months,Dashboards and reports,2 Developers,Cross-functional,At least 1 woman per role,3,Contract
EdTech,Large,"R,Python,Azure ML",127988,ML Engineer,Mid-level,"Python,PyTorch,Deep Learning",6,Recommendation System,12 months,ETL pipelines,1 Analyst,Cross-functional,Ensure diverse academic backgrounds,1,"Full-time, Remote"
E-commerce,Medium,"R,Python,Azure ML",116513,Data Engineer,Mid-level,"Python,OpenCV,PyTorch",4,NLP,3 months,Forecast models,"2 Data Scientists, 1 MLOps Engineer",Siloed,At least 1 person with disability,3,Full-time
Gaming,Small,"Python,Spark,AWS Glue",271402,ML Researcher,Senior,"Python,OpenCV,PyTorch",2,Fraud Detection,9 months,ETL pipelines,5 Data Scientists,Cross-functional,50% gender parity,1,Hybrid
Technology,Medium,"Python,XGBoost,MySQL",112006,Data Analyst,Senior,"Python,Pandas,SQL",1,Computer Vision,12 months,Deployable chatbot,1 ML Engineer,Cross-functional,At least 1 woman per role,3,Contract
Healthcare,Small,"Python,PyTorch,GCP",230323,Data Analyst,Junior,"Python,Spark,AWS Glue",4,Forecasting,12 months,Medical ML Models,"1 Data Scientist, 1 PM",Cross-functional,50% gender parity,3,"Full-time, Remote"
Finance,Medium,"Python,Spark,AWS Glue",111950,AI Researcher,Mid-level,"Python,PyTorch,Deep Learning",1,Forecasting,4 months,Medical ML Models,1 Analyst,Siloed,Include fresh grads,1,Hybrid
E-commerce,Large,"Python,TensorFlow,AWS",134962,Data Scientist,Senior,"Python,XGBoost,MySQL",4,Computer Vision,3 months,Interactive dashboards,5 Data Scientists,Cross-functional,At least 30% female candidates,1,Full-time
EdTech,Medium,"Python,Tableau,SQL",281497,AI Researcher,Junior,"Python,Pandas,SQL",6,Forecasting,9 months,Interactive dashboards,4 Researchers,Cross-functional,Ensure diverse academic backgrounds,3,Full-time
Finance,Large,"Python,Tableau,SQL",260445,Data Scientist,Senior,"Python,Keras,NLP",3,Recommendation System,3 months,Object detection model,2 Data Engineers,Cross-functional,At least 30% female candidates,3,Full-time
Retail,Large,"Python,OpenCV,PyTorch",157481,ML Researcher,Senior,"Python,Spark,AWS Glue",3,NLP,4 months,Research papers,1 Analyst,Siloed,At least 1 woman per role,1,Contract
Technology,Small,"Python,Scikit-learn,Azure",174727,Data Analyst,Mid-level,"Python,Keras,NLP",3,Predictive Analytics,6 months,Deployable chatbot,5 Data Scientists,Cross-functional,Include fresh grads,1,Contract
Technology,Medium,"Python,OpenCV,PyTorch",130425,Data Scientist,Junior,"Python,Tableau,SQL",5,Predictive Analytics,5 months,Medical ML Models,2 Data Engineers,Siloed,Ensure diverse academic backgrounds,1,Remote
E-commerce,Small,"Python,Spark,AWS Glue",293396,Computer Vision Engineer,Junior,"R,Python,Bioinformatics",2,NLP,6 months,Demand forecasting system,1 BI Engineer,Cross-functional,At least 1 woman per role,1,Contract
Logistics,Small,"R,Python,Azure ML",197906,AI Researcher,Mid-level,"Python,Spark,AWS Glue",6,Forecasting,5 months,ETL pipelines,"1 Data Scientist, 1 PM",Cross-functional,At least 30% female candidates,3,"Full-time, Remote"
Technology,Medium,"Python,FastAPI,SQL",129126,ML Researcher,Mid-level,"R,Python,Bioinformatics",2,Forecasting,4 months,Sentiment classifier,2 ML Engineers,Cross-functional,At least 1 person with disability,3,"Full-time, Remote"
Finance,Large,"Python,OpenCV,PyTorch",160215,Data Scientist,Mid-level,"Python,OpenCV,PyTorch",4,Computer Vision,9 months,Interactive dashboards,1 BI Engineer,Siloed,At least 30% female candidates,3,Hybrid
E-commerce,Small,"Python,Scikit-learn,Azure",213835,Data Analyst,Senior,"Python,Pandas,SQL",5,NLP,6 months,Deployable chatbot,"2 Data Scientists, 1 MLOps Engineer",Siloed,50% gender parity,3,Full-time
Gaming,Large,"R,Python,Azure ML",225637,Data Scientist,Mid-level,"Python,Tableau,SQL",2,NLP,9 months,Deployable chatbot,4 Researchers,Cross-functional,Ensure diverse academic backgrounds,2,Remote
E-commerce,Large,"Python,PyTorch,GCP",104175,ML Researcher,Senior,"Python,Keras,NLP",2,Fraud Detection,6 months,Demand forecasting system,2 ML Engineers,Cross-functional,At least 1 woman per role,2,Contract
Gaming,Small,"Python,Scikit-learn,Azure",264314,ML Researcher,Senior,"Python,Scikit-learn,NLP",6,NLP,6 months,Forecast models,2 Developers,Cross-functional,None,2,Remote
Manufacturing,Large,"Python,Spark,AWS Glue",279480,Data Scientist,Senior,"Python,Scikit-learn,EDA",6,NLP,9 months,Forecast models,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,At least 1 woman per role,2,Hybrid
Technology,Medium,"Python,Scikit-learn,Azure",145945,Data Scientist,Senior,"Python,Spark,AWS Glue",2,Forecasting,4 months,Object detection model,5 Data Scientists,Siloed,50% gender parity,3,Contract
E-commerce,Medium,"Python,Scikit-learn,Azure",170086,Computer Vision Engineer,Mid-level,"Python,Scikit-learn,NLP",1,Forecasting,5 months,Interactive dashboards,1 BI Engineer,Cross-functional,At least 1 woman per role,3,"Full-time, Remote"
Manufacturing,Medium,"Python,Tableau,SQL",262778,ML Engineer,Senior,"Python,PyTorch,Deep Learning",2,Recommendation System,3 months,Research papers,4 Researchers,Cross-functional,None,1,Full-time
Finance,Medium,"Python,PyTorch,GCP",282735,AI Researcher,Mid-level,"Python,Pandas,SQL",2,Predictive Analytics,12 months,Deployable chatbot,1 ML Engineer,Siloed,50% gender parity,3,Contract
Logistics,Medium,"R,Python,Azure ML",216355,Machine Learning Engineer,Mid-level,"Python,Spark,AWS Glue",1,NLP,4 months,Object detection model,"1 Data Scientist, 1 PM",Siloed,Include fresh grads,2,Remote
Logistics,Large,"Python,OpenCV,PyTorch",243777,ML Researcher,Mid-level,"Python,Keras,NLP",5,Computer Vision,5 months,Dashboards and reports,1 ML Engineer,Cross-functional,At least 1 woman per role,2,Remote
Technology,Small,"Python,Scikit-learn,Azure",174549,ML Researcher,Junior,"Python,XGBoost,MySQL",2,Fraud Detection,9 months,Sentiment classifier,1 Analyst,Cross-functional,At least 1 person with disability,3,Contract
Finance,Small,"Python,PyTorch,GCP",110787,ML Engineer,Senior,"Python,Pandas,SQL",4,Forecasting,5 months,Dashboards and reports,2 Data Engineers,Cross-functional,50% gender parity,2,Remote
Finance,Medium,"Python,Tableau,SQL",241522,AI Researcher,Senior,"Python,Keras,NLP",1,NLP,6 months,Interactive dashboards,1 Analyst,Siloed,None,1,Full-time
Manufacturing,Large,"Python,Scikit-learn,Azure",269671,Data Engineer,Mid-level,"Python,Keras,NLP",5,Fraud Detection,4 months,Demand forecasting system,1 BI Engineer,Siloed,50% gender parity,1,Hybrid
Technology,Small,"Python,OpenCV,PyTorch",130638,Data Engineer,Junior,"R,Python,Bioinformatics",5,Computer Vision,6 months,Forecast models,5 Data Scientists,Siloed,At least 30% female candidates,3,Contract
Manufacturing,Small,"Python,Keras,NLP",151305,Machine Learning Engineer,Junior,"Python,OpenCV,PyTorch",4,Fraud Detection,12 months,Research papers,2 Developers,Siloed,Ensure diverse academic backgrounds,2,Remote
Manufacturing,Small,"Python,Scikit-learn,Azure",204217,AI Researcher,Senior,"R,Python,Bioinformatics",3,Recommendation System,5 months,Deployable chatbot,1 ML Engineer,Siloed,None,2,Hybrid
Manufacturing,Small,"Python,Spark,AWS Glue",290802,ML Researcher,Senior,"R,Python,Bioinformatics",4,Forecasting,4 months,Medical ML Models,4 Researchers,Cross-functional,At least 1 person with disability,3,"Full-time, Remote"
Healthcare,Small,"Python,Spark,AWS Glue",179490,ML Researcher,Senior,"Python,Scikit-learn,EDA",1,Predictive Analytics,6 months,Research papers,"2 Data Scientists, 1 MLOps Engineer",Siloed,50% gender parity,2,Hybrid
Finance,Large,"Python,Tableau,SQL",286186,AI Researcher,Junior,"Python,Pandas,SQL",4,Forecasting,9 months,Interactive dashboards,"2 Data Scientists, 1 MLOps Engineer",Siloed,At least 1 person with disability,3,Remote
Logistics,Large,"Python,Tableau,SQL",158856,Machine Learning Engineer,Junior,"Python,Pandas,SQL",3,Forecasting,12 months,Interactive dashboards,5 Data Scientists,Siloed,At least 1 woman per role,1,Hybrid
E-commerce,Small,"Python,PyTorch,GCP",172670,ML Researcher,Junior,"Python,XGBoost,MySQL",6,Forecasting,9 months,Interactive dashboards,2 ML Engineers,Siloed,At least 1 person with disability,2,Hybrid
Healthcare,Medium,"Python,OpenCV,PyTorch",292140,Machine Learning Engineer,Mid-level,"Python,Pandas,SQL",5,NLP,4 months,Forecast models,1 BI Engineer,Cross-functional,None,1,Full-time
EdTech,Medium,"R,Python,Azure ML",266788,ML Engineer,Junior,"Python,Keras,NLP",3,Predictive Analytics,12 months,Research papers,2 Developers,Cross-functional,At least 1 person with disability,3,Contract
Healthcare,Large,"Python,FastAPI,SQL",242530,ML Engineer,Mid-level,"Python,Keras,NLP",3,Fraud Detection,12 months,Forecast models,5 Data Scientists,Siloed,At least 1 person with disability,1,Full-time
Finance,Large,"Python,Keras,NLP",197783,ML Researcher,Mid-level,"Python,Scikit-learn,EDA",2,NLP,4 months,Dashboards and reports,2 Developers,Cross-functional,At least 1 person with disability,1,"Full-time, Remote"
Manufacturing,Large,"Python,OpenCV,PyTorch",284094,Data Scientist,Mid-level,"Python,Tableau,SQL",1,NLP,4 months,Deployable chatbot,1 BI Engineer,Siloed,None,3,Remote
Finance,Medium,"Python,XGBoost,MySQL",237133,ML Engineer,Junior,"Python,Keras,NLP",1,Fraud Detection,3 months,ETL pipelines,1 Analyst,Cross-functional,50% gender parity,1,Remote
Finance,Small,"Python,FastAPI,SQL",120605,Computer Vision Engineer,Senior,"Python,PyTorch,Deep Learning",1,NLP,6 months,Medical ML Models,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,At least 30% female candidates,1,"Full-time, Remote"
Technology,Medium,"Python,PyTorch,GCP",166325,Machine Learning Engineer,Junior,"Python,Keras,NLP",6,NLP,3 months,Research papers,2 ML Engineers,Cross-functional,Include fresh grads,1,Contract
Retail,Small,"Python,PyTorch,GCP",138156,Data Engineer,Senior,"Python,Scikit-learn,EDA",3,Computer Vision,9 months,Demand forecasting system,2 Data Engineers,Cross-functional,At least 30% female candidates,3,Full-time
Manufacturing,Small,"Python,Spark,AWS Glue",173887,AI Researcher,Senior,"Python,Scikit-learn,NLP",6,NLP,4 months,Object detection model,1 BI Engineer,Siloed,50% gender parity,3,Contract
Logistics,Large,"Python,PyTorch,GCP",147408,ML Engineer,Mid-level,"R,Python,Bioinformatics",2,Predictive Analytics,4 months,Medical ML Models,5 Data Scientists,Siloed,At least 30% female candidates,2,Full-time
Manufacturing,Small,"Python,Tableau,SQL",299825,ML Engineer,Senior,"Python,Keras,NLP",5,Fraud Detection,3 months,Research papers,"1 Data Scientist, 1 PM",Siloed,At least 30% female candidates,2,Remote
Logistics,Large,"Python,Keras,NLP",280105,ML Researcher,Junior,"Python,OpenCV,PyTorch",4,Forecasting,6 months,ETL pipelines,5 Data Scientists,Siloed,50% gender parity,2,Contract
Technology,Large,"Python,Tableau,SQL",276185,Data Scientist,Mid-level,"Python,Tableau,SQL",5,Fraud Detection,12 months,Research papers,5 Data Scientists,Cross-functional,At least 1 woman per role,2,"Full-time, Remote"
Healthcare,Large,"Python,FastAPI,SQL",116963,ML Engineer,Junior,"Python,Scikit-learn,EDA",2,Predictive Analytics,6 months,Research papers,2 Data Engineers,Siloed,50% gender parity,2,Remote
EdTech,Large,"R,Python,Azure ML",193348,ML Researcher,Senior,"Python,XGBoost,MySQL",4,Recommendation System,9 months,Sentiment classifier,1 Analyst,Siloed,At least 30% female candidates,1,Remote
Logistics,Medium,"Python,Spark,AWS Glue",264723,AI Researcher,Junior,"Python,PyTorch,Deep Learning",6,NLP,3 months,Interactive dashboards,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,At least 1 woman per role,3,Remote
Finance,Medium,"Python,XGBoost,MySQL",263376,Data Scientist,Junior,"Python,OpenCV,PyTorch",4,Recommendation System,4 months,Sentiment classifier,1 BI Engineer,Siloed,Include fresh grads,2,"Full-time, Remote"
Retail,Large,"Python,OpenCV,PyTorch",104632,Machine Learning Engineer,Mid-level,"Python,PyTorch,Deep Learning",4,Recommendation System,5 months,Medical ML Models,1 BI Engineer,Siloed,At least 30% female candidates,1,Contract
Manufacturing,Large,"Python,Keras,NLP",285089,AI Researcher,Mid-level,"R,Python,Bioinformatics",2,Forecasting,12 months,Medical ML Models,1 BI Engineer,Cross-functional,Include fresh grads,3,Hybrid
Manufacturing,Large,"Python,OpenCV,PyTorch",250001,ML Researcher,Mid-level,"Python,OpenCV,PyTorch",2,Predictive Analytics,3 months,Medical ML Models,1 ML Engineer,Siloed,Include fresh grads,2,"Full-time, Remote"
